account,market_sentiment,num_trades,total_pnl,avg_pnl,win_rate
0x8477e447846c758f5a675856001ea72298fd9cb5,neutral,100,182.696389,1.82696389,0.27
0x92f17e8d81a944691c10e753af1b1baae1a2cd0d,greed,169,12245.905048999999,72.46097662130177,0.4437869822485207
0xa0feb3725a9335f49874d7cd8eaad6be45b27416,fear,994,7471.942472,7.517044740442656,0.176056338028169
0xa0feb3725a9335f49874d7cd8eaad6be45b27416,greed,703,-3821.26627,-5.435656145092461,0.2332859174964438
0xa520ded057a32086c40e7dd6ed4eb8efb82c00e0,fear,104,3938.3279430000002,37.86853791346154,0.5192307692307693
0xa520ded057a32086c40e7dd6ed4eb8efb82c00e0,greed,63,34709.852428,550.9500385396825,0.7777777777777778
0xa520ded057a32086c40e7dd6ed4eb8efb82c00e0,neutral,11,-219.729659,-19.975423545454547,0.0
0xae5eacaf9c6b9111fd53034a602c192a04e082ed,fear,21,0.0,0.0,0.0
0xae5eacaf9c6b9111fd53034a602c192a04e082ed,greed,44,0.0,0.0,0.0
0xaf40fdc468c30116bd3307bcbf4a451a7ebf1deb,fear,4,0.0,0.0,0.0
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,fear,1525,148147.055383,97.14561008721311,0.3140983606557377
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,greed,2032,332705.773842,163.7331564183071,0.2800196850393701
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,neutral,642,-878.600945,-1.3685372975077883,0.2087227414330218
0xb899e522b5715391ae1d4f137653e7906c5e2115,fear,316,39909.740821,126.29664816772151,0.4810126582278481
0xbaaaf6571ab7d571043ff1e313a9609a10637864,fear,881,9367.872074,10.63322596367764,0.24517593643586832
0xbaaaf6571ab7d571043ff1e313a9609a10637864,greed,744,188116.840712,252.8452160107527,1.0
0xbd5fead7180a9c139fa51a103cb6a2ce86ddb5c3,fear,441,171198.284258,388.20472620861676,0.46485260770975056
0xbd5fead7180a9c139fa51a103cb6a2ce86ddb5c3,greed,210,-120236.227323,-572.5534634428572,0.3
0xbd5fead7180a9c139fa51a103cb6a2ce86ddb5c3,neutral,52,0.0,0.0,0.0
0xbee1707d6b44d4d52bfe19e41f8a828645437aab,fear,2288,19790.664511,8.649765957604895,0.36451048951048953
0xbee1707d6b44d4d52bfe19e41f8a828645437aab,greed,667,7139.336005,10.703652181409295,0.5157421289355323
0xbee1707d6b44d4d52bfe19e41f8a828645437aab,neutral,928,26600.990442,28.664860390086204,0.5765086206896551
