market_sentiment,num_trades,total_pnl,avg_pnl,win_rate
fear,13869,1779225.582654,128.28795029591174,0.381786718581008
greed,11292,609632.532636,53.988003244420824,0.4357066950053135
neutral,2756,74656.74198,27.08880333091437,0.4949201741654572
